LocationType,Location,TimeFrame,DataFormat,Data
County,Fleming,2019,Number,92
County,Fleming,2020,Number,88
County,Fleming,2021,Number,73
County,Fleming,2022,Number,74
County,Floyd,2001,Number,312
County,Floyd,2002,Number,250
County,Floyd,2003,Number,202
County,Floyd,2004,Number,314
County,Floyd,2005,Number,271
County,Floyd,2006,Number,217
County,Floyd,2007,Number,191
County,Floyd,2008,Number,217
County,Floyd,2009,Number,172
County,Floyd,2010,Number,157
County,Floyd,2011,Number,138
County,Floyd,2012,Number,150
County,Floyd,2013,Number,122
County,Floyd,2014,Number,124
County,Floyd,2015,Number,127
County,Floyd,2016,Number,137
County,Floyd,2017,Number,149
County,Floyd,2018,Number,172
County,Floyd,2019,Number,207
County,Floyd,2020,Number,185
County,Floyd,2021,Number,132
County,Floyd,2022,Number,101
County,Franklin,2001,Number,681
County,Franklin,2002,Number,744
County,Franklin,2003,Number,752
County,Franklin,2004,Number,1155
County,Franklin,2005,Number,1087
County,Franklin,2006,Number,1117
County,Franklin,2007,Number,1047
County,Franklin,2008,Number,1100
County,Franklin,2009,Number,1208
County,Franklin,2010,Number,1180
County,Franklin,2011,Number,1204
County,Franklin,2012,Number,1190
County,Franklin,2013,Number,912
County,Franklin,2014,Number,770
County,Franklin,2015,Number,697
County,Franklin,2016,Number,777
County,Franklin,2017,Number,766
County,Franklin,2018,Number,808
County,Franklin,2019,Number,804
County,Franklin,2020,Number,669
County,Franklin,2021,Number,582
County,Franklin,2022,Number,555
County,Fulton,2001,Number,57
County,Fulton,2002,Number,68
County,Fulton,2003,Number,68
County,Fulton,2004,Number,91
County,Fulton,2005,Number,72
County,Fulton,2006,Number,93
County,Fulton,2007,Number,99
County,Fulton,2008,Number,89
County,Fulton,2009,Number,75
County,Fulton,2010,Number,67
County,Fulton,2011,Number,78
County,Fulton,2012,Number,73
County,Fulton,2013,Number,74
County,Fulton,2014,Number,59
County,Fulton,2015,Number,51
County,Fulton,2016,Number,50
County,Fulton,2017,Number,47
County,Fulton,2018,Number,39
County,Fulton,2019,Number,54
County,Fulton,2020,Number,33
County,Fulton,2021,Number,20
County,Fulton,2022,Number,21
County,Gallatin,2001,Number,43
County,Gallatin,2002,Number,36
County,Gallatin,2003,Number,18
County,Gallatin,2004,Number,63
County,Gallatin,2005,Number,79
County,Gallatin,2006,Number,103
County,Gallatin,2007,Number,99
