LocationType,Location,TimeFrame,DataFormat,Data
School District,Dawson Springs Ind.,2013,Rate,98.4
School District,Dawson Springs Ind.,2014,Rate,97.1
School District,Dawson Springs Ind.,2015,Rate,91.9
School District,Dawson Springs Ind.,2016,Rate,98.1
School District,Dawson Springs Ind.,2017,Rate,96.1
School District,Dawson Springs Ind.,2018,Rate,96.3
School District,Dawson Springs Ind.,2019,Rate,97.8
School District,Dawson Springs Ind.,2020,Rate,97.7
School District,Dawson Springs Ind.,2021,Rate,87.5
School District,Dawson Springs Ind.,2022,Rate,93.3
School District,Dawson Springs Ind.,2023,Rate,91.9
School District,Dawson Springs Ind.,2024,Rate,97.1
School District,Dayton Ind.,2013,Rate,81
School District,Dayton Ind.,2014,Rate,85.4
School District,Dayton Ind.,2015,Rate,71.7
School District,Dayton Ind.,2016,Rate,92
School District,Dayton Ind.,2017,Rate,92.8
School District,Dayton Ind.,2018,Rate,80.3
School District,Dayton Ind.,2019,Rate,93
School District,Dayton Ind.,2020,Rate,91.7
School District,Dayton Ind.,2021,Rate,96.3
School District,Dayton Ind.,2022,Rate,98.1
School District,Dayton Ind.,2023,Rate,95.1
School District,Dayton Ind.,2024,Rate,94.4
School District,East Bernstadt Ind.,2013,Rate,*
School District,East Bernstadt Ind.,2014,Rate,*
School District,East Bernstadt Ind.,2015,Rate,*
School District,East Bernstadt Ind.,2016,Rate,*
School District,East Bernstadt Ind.,2017,Rate,*
School District,East Bernstadt Ind.,2018,Rate,*
School District,East Bernstadt Ind.,2019,Rate,*
School District,East Bernstadt Ind.,2020,Rate,*
School District,East Bernstadt Ind.,2021,Rate,*
School District,East Bernstadt Ind.,2022,Rate,*
School District,East Bernstadt Ind.,2023,Rate,*
School District,East Bernstadt Ind.,2024,Rate,*
School District,Edmonson Co.,2013,Rate,90.4
School District,Edmonson Co.,2014,Rate,91
School District,Edmonson Co.,2015,Rate,91.9
School District,Edmonson Co.,2016,Rate,86.3
School District,Edmonson Co.,2017,Rate,94
School District,Edmonson Co.,2018,Rate,90.6
School District,Edmonson Co.,2019,Rate,94.9
School District,Edmonson Co.,2020,Rate,93.8
School District,Edmonson Co.,2021,Rate,86.3
School District,Edmonson Co.,2022,Rate,91.8
School District,Edmonson Co.,2023,Rate,96.7
School District,Edmonson Co.,2024,Rate,94.8
School District,Elizabethtown Ind.,2013,Rate,91.1
School District,Elizabethtown Ind.,2014,Rate,92.8
School District,Elizabethtown Ind.,2015,Rate,92
School District,Elizabethtown Ind.,2016,Rate,92.7
School District,Elizabethtown Ind.,2017,Rate,95.6
School District,Elizabethtown Ind.,2018,Rate,95.1
School District,Elizabethtown Ind.,2019,Rate,95.3
School District,Elizabethtown Ind.,2020,Rate,94
School District,Elizabethtown Ind.,2021,Rate,89.5
School District,Elizabethtown Ind.,2022,Rate,92.7
School District,Elizabethtown Ind.,2023,Rate,94.6
